sample_id	map_step	Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
SRR5712527	genome	Dec 17 15:01:08	Dec 17 15:01:49	Dec 17 15:15:32	54.07	12359883	273	8316525	67.29%	276.01	9110766	8831597	8871726	60355	8295	170390	0.34%	0.01%	1.66	0.01%	1.41	1925038	15.57%	87750	0.71%	0.00%	16.20%	0.23%	0	0.00%
SRR5712527	circRNA	Dec 19 00:19:36	Dec 19 00:19:38	Dec 19 01:17:43	2.19	2118700	267	99346	4.69%	261.28	6883	0	1316	363	15	5189	0.39%	0.02%	2.32	0.02%	1.91	22011	1.04%	426	0.02%	0.00%	94.24%	0.01%	0	0.00%
SRR5712528	rRNA	Dec 14 17:28:29	Dec 14 17:28:29	Dec 14 20:10:42	5.08	13733853	272	1461	0.01%	173.53	593	0	231	27	0	335	1.08%	0.06%	2.46	0.02%	1.74	1899969	13.83%	42805	0.31%	0.00%	3.64%	82.20%	0	0.00%
SRR5712528	genome	Dec 17 14:47:25	Dec 17 14:48:08	Dec 17 15:04:54	42.34	11832442	280	8540230	72.18%	279.89	9819958	9599213	9636319	66892	7574	109173	0.34%	0.01%	1.52	0.01%	1.35	1344539	11.36%	76095	0.64%	0.00%	15.55%	0.27%	0	0.00%
SRR5712528	circRNA	Dec 19 01:12:12	Dec 19 01:12:15	Dec 19 02:53:50	1.15	1948059	276	71186	3.65%	263.96	5411	0	1186	191	25	4009	0.39%	0.02%	2.07	0.03%	1.85	15837	0.81%	291	0.01%	0.00%	95.51%	0.01%	0	0.00%
SRR5712529	rRNA	Dec 14 13:56:11	Dec 14 13:56:11	Dec 14 17:55:59	3.93	15696703	276	1257	0.01%	200.64	637	0	231	74	0	332	1.22%	0.10%	2.28	0.03%	1.76	1524988	9.72%	32529	0.21%	0.00%	4.14%	85.93%	0	0.00%
SRR5712529	genome	Dec 17 13:33:09	Dec 17 13:34:12	Dec 17 13:49:15	56.49	14170481	282	9827475	69.35%	280.85	10480758	10161116	10232448	70295	8038	169977	0.34%	0.01%	1.59	0.01%	1.31	1318631	9.31%	41881	0.30%	0.00%	20.82%	0.23%	0	0.00%
SRR5712529	circRNA	Dec 19 01:45:23	Dec 19 01:45:28	Dec 19 04:00:30	1.34	3024750	278	61550	2.03%	265.34	4350	0	821	154	63	3312	0.37%	0.03%	2.78	0.03%	1.81	13586	0.45%	232	0.01%	0.00%	97.50%	0.01%	0	0.00%
SRR5712530	rRNA	Dec 14 13:56:12	Dec 14 13:56:12	Dec 14 16:43:18	5.25	14616332	280	3429	0.02%	95.85	335	0	181	22	0	132	2.11%	0.03%	2.58	0.04%	5.07	1070651	7.33%	19823	0.14%	0.00%	3.24%	89.27%	0	0.00%
SRR5712530	genome	Dec 17 13:38:52	Dec 17 13:39:38	Dec 17 13:54:54	53.22	13542266	284	10667471	78.77%	283.16	12469113	12189801	12229739	88921	12023	138430	0.33%	0.01%	1.67	0.02%	1.59	1226435	9.06%	61752	0.46%	0.00%	11.49%	0.23%	0	0.00%
SRR5712530	circRNA	Dec 19 06:49:35	Dec 19 06:49:37	Dec 19 07:38:31	2.02	1649735	274	84520	5.12%	258.50	6081	0	1344	241	25	4471	0.40%	0.03%	3.01	0.02%	2.11	20353	1.23%	285	0.02%	0.00%	93.61%	0.01%	0	0.00%
SRR5712531	rRNA	Dec 14 17:05:41	Dec 14 17:05:41	Dec 14 19:31:19	6.54	15863327	281	4883	0.03%	98.15	631	0	242	34	0	355	2.47%	0.03%	1.58	0.01%	1.85	1100047	6.93%	23765	0.15%	0.00%	3.10%	89.79%	0	0.00%
SRR5712531	genome	Dec 17 12:45:27	Dec 17 12:46:16	Dec 17 13:04:29	48.61	14758415	285	9539066	64.63%	284.44	11109290	10813319	10856929	77912	9105	165344	0.33%	0.01%	1.67	0.01%	1.34	1271004	8.61%	46709	0.32%	0.00%	26.28%	0.15%	0	0.00%
SRR5712531	circRNA	Dec 19 07:22:21	Dec 19 07:22:23	Dec 19 08:00:43	6.18	3949009	281	82827	2.10%	263.63	5282	0	1220	220	13	3829	0.39%	0.02%	2.26	0.02%	1.59	18571	0.47%	204	0.01%	0.00%	97.42%	0.01%	0	0.00%
SRR5712532	rRNA	Dec 14 16:21:07	Dec 14 16:21:07	Dec 14 20:09:54	4.10	15644340	274	6284	0.04%	146.68	687	0	229	41	0	417	1.35%	0.06%	2.07	0.05%	3.03	902188	5.77%	47375	0.30%	0.00%	4.57%	89.32%	0	0.00%
SRR5712532	genome	Dec 17 14:16:17	Dec 17 14:17:00	Dec 17 14:36:09	46.17	14735883	278	10480279	71.12%	278.72	9167775	8851153	8962450	56638	8104	140583	0.39%	0.01%	1.55	0.01%	1.29	1916346	13.00%	114872	0.78%	0.00%	14.86%	0.24%	0	0.00%
SRR5712532	circRNA	Dec 19 07:04:41	Dec 19 07:04:42	Dec 19 08:00:40	2.51	2339729	269	124383	5.32%	262.99	9606	0	2125	448	41	6992	0.39%	0.02%	2.48	0.02%	2.07	23794	1.02%	424	0.02%	0.00%	93.64%	0.01%	0	0.00%
SRR5712533	rRNA	Dec 14 13:56:11	Dec 14 13:56:11	Dec 14 16:54:36	4.61	13696831	275	2370	0.02%	168.18	569	0	145	23	0	401	1.28%	0.11%	2.48	0.10%	2.31	895732	6.54%	27839	0.20%	0.00%	4.73%	88.51%	0	0.00%
SRR5712533	genome	Dec 17 14:39:03	Dec 17 14:39:47	Dec 17 14:59:53	38.21	12798747	279	9049301	70.70%	280.45	8930188	8722832	8773651	63938	7867	84732	0.37%	0.01%	1.59	0.01%	1.35	1597141	12.48%	101991	0.80%	0.00%	15.74%	0.28%	0	0.00%
SRR5712533	circRNA	Dec 19 02:55:41	Dec 19 02:55:45	Dec 19 05:15:06	0.93	2152628	268	98208	4.56%	255.08	6139	0	1366	182	10	4581	0.41%	0.03%	3.03	0.02%	2.24	22212	1.03%	353	0.02%	0.00%	94.38%	0.01%	0	0.00%
SRR5712534	rRNA	Dec 14 15:36:56	Dec 14 15:36:56	Dec 14 22:11:50	2.42	15930419	262	3563	0.02%	133.47	498	0	248	44	0	206	1.18%	0.03%	1.43	0.03%	1.82	1853599	11.64%	56913	0.36%	0.00%	6.00%	81.99%	0	0.00%
SRR5712534	genome	Dec 16 10:03:27	Dec 16 10:04:34	Dec 16 10:31:13	31.68	14073275	271	10605590	75.36%	271.07	9488131	9249328	9325690	65337	8370	88734	0.40%	0.01%	1.52	0.01%	1.30	2070979	14.72%	83951	0.60%	0.00%	9.18%	0.15%	0	0.00%
SRR5712534	circRNA	Dec 19 01:23:45	Dec 19 01:23:49	Dec 19 02:30:08	1.26	1397063	260	93944	6.72%	262.42	7193	0	1486	253	36	5418	0.41%	0.02%	2.59	0.03%	2.19	18482	1.32%	489	0.04%	0.00%	91.91%	0.01%	0	0.00%
SRR5712535	rRNA	Dec 13 22:53:32	Dec 13 22:53:32	Dec 14 02:40:52	4.56	17289699	276	1798	0.01%	192.90	618	0	203	37	0	378	0.95%	0.09%	2.16	0.04%	1.69	1304615	7.55%	42816	0.25%	0.00%	4.09%	88.10%	0	0.00%
SRR5712535	genome	Dec 16 08:19:52	Dec 16 08:21:00	Dec 16 08:50:27	32.56	15983297	281	12582286	78.72%	280.17	12852805	12539644	12621426	86855	11798	132726	0.36%	0.01%	1.58	0.01%	1.32	1821027	11.39%	67156	0.42%	0.00%	9.36%	0.11%	0	0.00%
SRR5712535	circRNA	Dec 19 02:31:52	Dec 19 02:31:55	Dec 19 03:46:27	1.27	1580369	268	118554	7.50%	258.62	8189	0	1654	381	34	6120	0.39%	0.02%	2.36	0.03%	2.15	25131	1.59%	408	0.03%	0.00%	90.87%	0.01%	0	0.00%
SRR5712536	rRNA	Dec 13 22:52:17	Dec 13 22:52:17	Dec 14 03:57:50	3.26	16615189	278	1559	0.01%	158.30	602	0	226	61	0	315	1.31%	0.04%	1.72	0.02%	2.79	1405283	8.46%	29357	0.18%	0.00%	3.45%	87.91%	0	0.00%
SRR5712536	genome	Dec 16 08:32:09	Dec 16 08:33:11	Dec 16 09:03:33	30.05	15208369	283	11829610	77.78%	281.77	12476000	12159914	12213551	88329	11648	162472	0.35%	0.01%	1.60	0.01%	1.31	1366703	8.99%	47231	0.31%	0.00%	12.80%	0.12%	0	0.00%
SRR5712536	circRNA	Dec 19 00:19:41	Dec 19 00:19:44	Dec 19 01:21:13	1.96	2012649	277	87792	4.36%	262.47	6623	0	1146	344	16	5117	0.40%	0.02%	2.47	0.02%	1.93	19647	0.98%	354	0.02%	0.00%	94.63%	0.01%	0	0.00%
SRR5714908	rRNA	Dec 13 22:50:33	Dec 13 22:50:33	Dec 14 01:38:45	7.76	21746641	290	928	0.00%	168.48	202	0	69	4	0	129	1.49%	0.09%	2.85	0.03%	2.68	609002	2.80%	11517	0.05%	0.00%	1.01%	96.13%	0	0.00%
SRR5714908	genome	Dec 17 10:50:03	Dec 17 10:50:43	Dec 17 11:26:09	35.79	21136713	291	14965997	70.81%	288.10	17871627	17503524	17590463	128765	15446	136953	0.38%	0.01%	1.55	0.01%	1.35	1093988	5.18%	86867	0.41%	0.00%	23.42%	0.19%	0	0.00%
SRR5714908	circRNA	Dec 19 02:41:13	Dec 19 02:41:15	Dec 19 05:31:54	1.79	5077033	291	136466	2.69%	280.07	10560	0	2391	311	99	7759	0.43%	0.02%	2.34	0.02%	1.74	21176	0.42%	199	0.00%	0.00%	96.87%	0.02%	0	0.00%
SRR5714909	rRNA	Dec 14 02:11:41	Dec 14 02:11:41	Dec 14 04:39:18	8.88	21857039	292	720	0.00%	231.13	157	0	23	8	0	126	0.96%	0.16%	2.57	0.07%	1.61	439804	2.01%	8560	0.04%	0.00%	0.59%	97.36%	0	0.00%
SRR5714909	genome	Dec 17 09:42:47	Dec 17 09:44:10	Dec 17 10:04:01	64.74	21416517	293	15728659	73.44%	289.10	17605338	17265529	17335482	127326	16935	125595	0.37%	0.01%	1.54	0.01%	1.33	821205	3.83%	14349	0.07%	0.00%	22.62%	0.04%	0	0.00%
SRR5714909	circRNA	Dec 19 04:30:28	Dec 19 04:30:30	Dec 19 05:45:26	3.90	4866972	292	119052	2.45%	280.49	8296	0	1817	341	30	6108	0.40%	0.03%	3.13	0.02%	1.84	17968	0.37%	132	0.00%	0.00%	97.16%	0.02%	0	0.00%
SRR5714910	rRNA	Dec 14 00:55:20	Dec 14 00:55:20	Dec 14 03:12:26	8.69	19866068	290	480	0.00%	200.01	90	0	27	2	0	61	0.89%	0.12%	2.26	0.04%	1.85	322662	1.62%	6243	0.03%	0.00%	0.61%	97.74%	0	0.00%
SRR5714910	genome	Dec 16 04:05:57	Dec 16 04:06:49	Dec 16 05:44:37	11.99	19542929	291	12848269	65.74%	288.33	13577912	13284995	13385963	88755	13070	90124	0.37%	0.01%	1.57	0.01%	1.34	1260747	6.45%	216689	1.11%	0.00%	26.45%	0.25%	0	0.00%
SRR5714910	circRNA	Dec 19 07:31:55	Dec 19 07:31:56	Dec 19 13:00:43	0.99	5434191	291	101721	1.87%	280.36	7524	0	1351	244	54	5875	0.40%	0.03%	2.90	0.03%	2.22	15556	0.29%	190	0.00%	0.00%	97.82%	0.01%	0	0.00%
SRR5714911	rRNA	Dec 16 10:58:29	Dec 16 10:58:30	Dec 16 11:39:21	13.91	9468998	290	462	0.00%	234.27	45	0	5	2	0	38	0.58%	0.05%	1.49	0.07%	3.52	102427	1.08%	2722	0.03%	0.00%	0.97%	97.91%	0	0.00%
SRR5714911	genome	Dec 17 15:28:51	Dec 17 15:29:33	Dec 17 15:38:09	65.34	9366109	290	6958117	74.29%	287.82	6117760	5937242	6010666	42001	6233	58860	0.29%	0.01%	1.50	0.01%	1.29	431939	4.61%	11994	0.13%	0.00%	20.95%	0.02%	0	0.00%
SRR5714911	circRNA	Dec 19 06:24:58	Dec 19 06:25:00	Dec 19 06:36:22	10.43	1976178	289	53606	2.71%	276.74	3974	0	816	244	10	2904	0.30%	0.02%	2.14	0.02%	1.97	7994	0.40%	109	0.01%	0.00%	96.86%	0.01%	0	0.00%
SRR5714912	rRNA	Dec 14 13:56:08	Dec 14 13:56:09	Dec 14 14:56:46	10.47	10574578	290	215	0.00%	203.35	24	0	10	0	0	14	0.62%	0.04%	2.57	0.00%	0.00	132136	1.25%	2470	0.02%	0.00%	0.99%	97.74%	0	0.00%
SRR5714912	genome	Dec 17 15:15:58	Dec 17 15:16:42	Dec 17 15:28:04	55.12	10442228	290	6934132	66.40%	287.20	6341986	6170689	6243628	42857	5321	50180	0.31%	0.01%	1.46	0.01%	1.28	404592	3.87%	11762	0.11%	0.00%	29.58%	0.02%	0	0.00%
SRR5714912	circRNA	Dec 19 00:19:41	Dec 19 00:19:46	Dec 19 01:14:27	3.41	3103619	291	67727	2.18%	279.01	5577	0	1388	407	5	3777	0.31%	0.02%	2.18	0.03%	2.04	9401	0.30%	171	0.01%	0.00%	97.50%	0.01%	0	0.00%
SRR5714913	rRNA	Dec 14 13:56:08	Dec 14 13:56:08	Dec 14 14:56:02	14.27	14250349	289	590	0.00%	192.84	111	0	30	2	0	79	0.72%	0.04%	1.34	0.01%	1.62	422445	2.96%	8525	0.06%	0.00%	0.86%	96.11%	0	0.00%
SRR5714913	genome	Dec 17 13:13:54	Dec 17 13:14:37	Dec 17 13:32:06	47.45	13827317	291	11042427	79.86%	288.83	13131419	12864830	12932983	91035	13073	94328	0.28%	0.01%	1.57	0.01%	1.36	943654	6.82%	73650	0.53%	0.00%	12.71%	0.07%	0	0.00%
SRR5714913	circRNA	Dec 19 00:19:41	Dec 19 00:19:46	Dec 19 02:53:07	0.72	1841435	288	85464	4.64%	279.15	7227	0	1517	292	40	5378	0.33%	0.03%	3.06	0.04%	2.78	13562	0.74%	189	0.01%	0.00%	94.58%	0.03%	0	0.00%
SRR5714914	rRNA	Dec 14 01:37:52	Dec 14 01:37:52	Dec 14 04:25:12	7.27	20275422	290	203	0.00%	216.13	36	0	10	3	0	23	0.40%	0.03%	1.62	0.02%	1.14	323295	1.59%	5042	0.02%	0.00%	0.75%	97.63%	0	0.00%
SRR5714914	genome	Dec 17 11:18:19	Dec 17 11:19:10	Dec 17 11:34:27	78.33	19951928	291	16314332	81.77%	288.28	16098090	15670341	15886155	100539	15816	95580	0.30%	0.01%	1.53	0.01%	1.30	805099	4.04%	13252	0.07%	0.00%	14.11%	0.02%	0	0.00%
SRR5714914	circRNA	Dec 19 00:19:41	Dec 19 00:19:44	Dec 19 00:54:14	4.93	2832794	290	151071	5.33%	280.68	10518	0	2116	615	20	7767	0.31%	0.02%	2.27	0.03%	2.09	20801	0.73%	230	0.01%	0.00%	93.90%	0.02%	0	0.00%
SRR5714915	rRNA	Dec 14 07:44:10	Dec 14 07:44:10	Dec 14 09:42:53	10.11	19996680	289	305	0.00%	217.68	32	0	14	2	0	16	0.53%	0.03%	1.10	0.00%	1.00	274370	1.37%	4221	0.02%	0.00%	1.24%	97.37%	0	0.00%
SRR5714915	genome	Dec 17 11:49:47	Dec 17 11:50:28	Dec 17 12:13:35	51.19	19722014	289	10943362	55.49%	286.29	10337036	10057214	10195549	67343	7982	66162	0.31%	0.01%	1.49	0.01%	1.26	693162	3.51%	14215	0.07%	0.00%	40.91%	0.02%	0	0.00%
SRR5714915	circRNA	Dec 19 00:57:50	Dec 19 00:57:55	Dec 19 02:03:31	7.40	8085742	290	127287	1.57%	278.02	9778	0	2209	379	23	7167	0.31%	0.02%	2.24	0.03%	1.88	17045	0.21%	198	0.00%	0.00%	98.20%	0.01%	0	0.00%
SRR5714916	rRNA	Dec 14 08:15:03	Dec 14 08:15:04	Dec 14 10:17:30	14.15	28876104	289	619	0.00%	208.85	81	0	34	7	0	40	0.53%	0.08%	1.98	0.03%	3.00	486863	1.69%	8471	0.03%	0.00%	0.89%	97.40%	0	0.00%
SRR5714916	genome	Dec 15 15:43:02	Dec 15 15:44:14	Dec 15 16:28:14	38.71	28388626	290	25682435	90.47%	287.89	25769549	25059338	25391564	161591	24813	191581	0.30%	0.01%	1.66	0.01%	1.30	1338289	4.71%	37988	0.13%	0.00%	4.66%	0.02%	0	0.00%
SRR5714916	circRNA	Dec 19 02:55:30	Dec 19 02:55:34	Dec 19 05:05:44	0.63	1368333	281	219709	16.06%	277.74	16871	0	3432	759	30	12650	0.30%	0.02%	2.63	0.02%	1.91	30915	2.26%	571	0.04%	0.00%	81.59%	0.05%	0	0.00%
SRR5714917	rRNA	Dec 13 22:50:33	Dec 13 22:50:33	Dec 14 01:00:12	11.77	25443540	292	1668	0.01%	208.70	229	0	142	2	0	85	0.75%	0.06%	1.98	0.02%	1.71	1503646	5.91%	36728	0.14%	0.00%	0.65%	93.29%	0	0.00%
SRR5714917	genome	Dec 15 20:23:49	Dec 15 20:25:07	Dec 15 21:25:51	23.65	23938232	293	20176688	84.29%	290.51	26912204	26467424	26533382	182045	24712	172065	0.35%	0.01%	1.51	0.01%	1.35	1436021	6.00%	90885	0.38%	0.00%	8.97%	0.37%	0	0.00%
SRR5714917	circRNA	Dec 19 05:34:44	Dec 19 05:34:46	Dec 19 07:03:22	1.58	2326412	286	150553	6.47%	280.94	11210	0	2528	218	3	8461	0.41%	0.04%	3.88	0.03%	2.23	26081	1.12%	176	0.01%	0.00%	92.38%	0.02%	0	0.00%
SRR5714918	rRNA	Dec 13 22:51:25	Dec 13 22:51:26	Dec 14 01:58:03	9.63	29945449	292	1477	0.00%	240.50	945	0	562	40	0	343	0.85%	0.04%	1.56	0.01%	1.27	7549008	25.21%	104564	0.35%	0.00%	1.01%	73.43%	0	0.00%
SRR5714918	genome	Dec 15 22:48:14	Dec 15 22:50:19	Dec 15 23:51:48	21.85	22394987	292	18896516	84.38%	290.09	19642821	19169533	19229690	136408	19164	257559	0.33%	0.01%	1.47	0.01%	1.30	1657733	7.40%	86027	0.38%	0.00%	7.23%	0.60%	0	0.00%
SRR5714918	circRNA	Dec 19 06:36:45	Dec 19 06:36:46	Dec 19 08:13:25	1.14	1841219	282	98170	5.33%	276.51	8259	0	2008	427	6	5818	0.39%	0.05%	3.97	0.03%	1.88	16539	0.90%	122	0.01%	0.00%	93.71%	0.05%	0	0.00%
SRR5714919	rRNA	Dec 13 22:50:33	Dec 13 22:50:34	Dec 14 05:00:47	4.77	29415240	293	24865	0.08%	282.88	1078	0	236	23	0	819	0.75%	0.27%	2.86	0.09%	2.22	1222985	4.16%	26679	0.09%	0.00%	0.67%	94.99%	0	0.00%
SRR5714919	genome	Dec 15 19:06:11	Dec 15 19:07:28	Dec 15 21:08:19	13.98	28167397	294	12446661	44.19%	290.23	14374040	14119949	14155130	103172	14296	101442	0.36%	0.01%	1.63	0.01%	1.32	1005855	3.57%	77786	0.28%	0.00%	51.76%	0.20%	0	0.00%
SRR5714919	circRNA	Dec 19 00:19:41	Dec 19 00:19:45	Dec 19 04:06:29	3.89	14715758	294	64519	0.44%	280.58	5942	0	1055	243	34	4610	0.43%	0.02%	2.69	0.02%	1.79	12110	0.08%	103	0.00%	0.00%	99.48%	0.00%	0	0.00%
SRR5714920	rRNA	Dec 14 05:02:09	Dec 14 05:02:10	Dec 14 07:44:15	12.33	33315294	294	35107	0.11%	287.75	1315	0	174	88	0	1053	0.74%	0.23%	2.91	0.08%	2.28	827728	2.48%	17475	0.05%	0.00%	0.54%	96.82%	0	0.00%
SRR5714920	genome	Dec 15 16:29:29	Dec 15 16:30:38	Dec 15 18:52:17	13.75	32452466	294	11507871	35.46%	290.51	10894020	10693700	10722257	82760	9681	79322	0.36%	0.02%	1.80	0.02%	1.38	824619	2.54%	60937	0.19%	0.00%	61.70%	0.11%	0	0.00%
SRR5714920	circRNA	Dec 19 07:05:25	Dec 19 07:05:27	Dec 19 08:54:22	11.08	20120479	295	43001	0.21%	276.58	3699	0	658	164	37	2840	0.47%	0.03%	2.71	0.03%	2.04	9195	0.05%	73	0.00%	0.00%	99.74%	0.00%	0	0.00%
SRR5714921	rRNA	Dec 18 00:04:24	Dec 18 00:04:25	Dec 18 15:24:36	3.63	55662700	270	52503	0.09%	255.88	3045	0	427	119	0	2499	0.79%	0.27%	2.83	0.08%	2.26	3288196	5.91%	287940	0.52%	0.00%	6.47%	87.01%	0	0.00%
SRR5714921	genome	Dec 18 15:55:43	Dec 18 15:56:39	Dec 18 17:12:27	41.42	52322017	275	15710750	30.03%	267.14	10070368	9881085	9906258	85691	9547	68872	0.42%	0.03%	1.82	0.02%	1.37	1625600	3.11%	353877	0.68%	0.00%	66.08%	0.11%	0	0.00%
SRR5714921	circRNA	Dec 19 01:19:24	Dec 19 01:19:26	Dec 19 06:39:22	6.56	34986346	278	52799	0.15%	214.79	4564	0	721	142	15	3686	0.82%	0.04%	2.53	0.02%	1.60	30356	0.09%	1218	0.00%	0.00%	99.76%	0.00%	0	0.00%
